Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406794223;Teresina;PI;JET;17.8;10
0012406424940;São Paulo;SP;GFL;13.75;2
0012406237873;São Paulo;SP;GFL;11.56;2
0012406888394;Contagem;MG;GFL;11.8;5
0012406487247;Aparecida de Goiânia;GO;JET;11.94;7
0012406049246;Mauá;SP;S2C;11.18;3
0012406432577;Guaratuba;PR;RSU;11.02;5
0012406365940;Cubatão;SP;S2C;12.57;5
0012406157585;Santo André;SP;GFL;11.66;2
0012406140697;Barra Velha;SC;RSU;11.38;5
0012406025956;Antônio Prado;RS;JET;15.41;5
0012406360031;São Francisco do Sul;SC;RSU;11.13;5
0012406811859;Natal;RN;JET;16.39;9
0012406855259;Betim;MG;GFL;12.94;4
0012406690854;Osasco;SP;GFL;11.86;2
0012406003301;Viana;ES;JET;13.54;7
0012406182048;Recife;PE;JET;17.64;8
0012406058988;Carapicuíba;SP;GFL;10.98;2
0012406160823;Santo André;SP;GFL;14.66;2
0012406227315;Rio de Janeiro;RJ;JET;13.1;4
0012406141271;Boa Vista;RR;JET;31.62;13
0012406027192;Salvador;BA;JET;14.56;7
0012406709805;Belo Horizonte;MG;GFL;9.95;3
0012406602131;Osasco;SP;GFL;11.05;2
0012406103625;Anápolis;GO;JET;12.44;9
0012406358037;Franca;SP;GFL;11.31;2
0012406903700;Três Corações;MG;GFL;14.26;6
0012406351948;São Paulo;SP;JET;13.68;4
0012406619859;Alvorada D'Oeste;RO;JET;34.91;18
0012406872458;Franco da Rocha;SP;GFL;12.45;2
0042406546538;Lauro de Freitas;BA;JET;17.77;9
0012406294419;São Leopoldo;RS;JET;15.86;5
0012406346026;Vila Velha;ES;JET;9.59;6
0012406024250;Resende;RJ;GFL;11.65;6
0012406833137;Guarulhos;SP;GFL;10.81;2
0012406759393;Paulínia;SP;GFL;11.38;2
0012406781092;Viçosa;MG;GFL;14.08;5
0012406683391;Curitiba;PR;RSU;10.38;4
0012406952659;Montividiu;GO;GFL;14.53;10
0012406783576;Penápolis;SP;JET;10.52;7
0012406941606;São Luís;MA;JET;15.75;12
0012406724450;Caraguatatuba;SP;GFL;13.34;3
0012406264039;Rio de Janeiro;RJ;JET;14.95;4
0012406933841;Rio de Janeiro;RJ;JET;10.3;5
0012406157409;Campo Belo;MG;GFL;12.44;9
0012406560698;São José dos Campos;SP;JET;9.95;5
0012406442050;Rio de Janeiro;RJ;GFL;10.91;3
0012406313463;Serra;ES;JET;9.43;7
0012406285827;Nova Iguaçu;RJ;JET;11.92;7
0012406099789;São Vicente;SP;JET;10.18;5
0012406294149;Fortaleza;CE;JET;14.85;9
0042406350463;João Pessoa;PB;JET;15.63;9
0012406890782;Manaus;AM;JET;21.57;12
0012406478237;Belém;PA;JET;18.58;13
0012406637585;Salvador;BA;JET;12.92;7
0012406422894;Campina Grande;PB;JET;15.96;10
0012406715953;Peruíbe;SP;S2C;10.86;5
0012406787739;Riolândia;SP;JET;11.07;7
0012406659154;Rio Bonito;RJ;JET;11.07;7
0012406130070;Manaus;AM;JET;30.01;12
0012406254255;Borrazópolis;PR;RSU;10.17;5
0012406344829;Dom Aquino;MT;JET;17.82;22
0012406613427;Itaboraí;RJ;GFL;11.85;5
0012406261952;São Sebastião;SP;JET;11.85;6
0012406993803;Salvador;BA;JET;15.27;7
0012406102886;Belo Horizonte;MG;JET;10.65;5
0012406379494;Mogi das Cruzes;SP;JET;10.18;5
0012406744249;Itaguaí;RJ;GFL;10.76;4
0012406670971;Petrolina;PE;JET;16.33;11
0012406930559;Queimados;RJ;JET;13.41;6
0012406661938;Santana de Parnaíba;SP;GFL;10.25;2
0012406227589;Tremedal;BA;JET;18.41;10
0012406835607;Crato;CE;JET;19.88;15
0012406160572;Porto Alegre;RS;GFL;12.33;16
0012406873488;Hortolândia;SP;GFL;11.65;2
0012406441218;Caieiras;SP;GFL;13.26;2
0012406960146;Garuva;SC;RSU;11.3;5
0012406294362;Cabo Frio;RJ;JET;12.27;6
0012406921852;Aracaju;SE;JET;15.51;8
0012406103493;Rio Claro;SP;JET;10.18;5
0012406695195;Beberibe;CE;JET;18.38;14
0012406293051;Baraúna;PB;JET;16.84;15
0012406043656;São Paulo;SP;S2C;10.09;2
0012406268450;Barueri;SP;JET;10.18;4
0012406767921;Osório;RS;GFL;12.66;17
0012406662536;Fortaleza;CE;JET;14.49;9
0012406589167;Fortaleza;CE;JET;14.55;9
0012406846678;Guarulhos;SP;JET;9.95;3
0012406789890;Dom Cavati;MG;GFL;11.83;9
0012406287182;Morro Agudo;SP;GFL;11.73;3
0012406716550;Montes Claros;MG;JET;11.36;7
0012406938975;São Paulo;SP;JET;9.92;3
