Código do Pedido;Nome do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406319036;Montes Claros;MG;JET;12.04;7
0012406319036;Montes Claros;MG;BPS;31.57;9
0012406626962;Ribeirão das Neves;MG;JET;11.7;6
0012406626962;Ribeirão das Neves;MG;BPS;26.24;11
0012406034776;Campos dos Goytacazes;RJ;JET;13.94;6
0012406034776;Campos dos Goytacazes;RJ;BPS;27.32;10
0012406673495;Manaus;AM;JET;20.5;12
0012406673495;Manaus;AM;BPS;19.85;26
0012406335869;Magé;RJ;JET;13.85;7
0012406335869;Magé;RJ;BPS;42.22;9
0012406750176;Camaçari;BA;JET;17.78;8
0012406750176;Camaçari;BA;BPS;79.92;11
0012406068415;Braço do Rio;ES;JET;12.14;9
0012406068415;Braço do Rio;ES;BPS;20.48;13
0012406327946;Francisco Morato;SP;JET;14.43;5
0012406327946;Francisco Morato;SP;BPS;23.08;11
0012406495967;Itapevi;SP;JET;15.31;4
0012406495967;Itapevi;SP;BPS;23.33;11
0012406006605;Arujá;SP;JET;13.39;5
0012406006605;Arujá;SP;BPS;23.06;11
0012406123973;São Paulo;SP;JET;10.67;3
0012406123973;São Paulo;SP;BPS;19.18;11
0012406252115;Água Doce do Norte;ES;JET;12.13;9
0012406252115;Água Doce do Norte;ES;BPS;20.47;13
0012406619367;Campina Grande;PB;JET;18.98;10
0012406619367;Campina Grande;PB;BPS;31.85;12
0012406375101;São Bernardo do Campo;SP;JET;11.46;3
0012406375101;São Bernardo do Campo;SP;BPS;22.5;11
0012406326781;Campina Grande;PB;JET;25;10
0012406326781;Campina Grande;PB;BPS;33.26;12
0012406185395;Santo André;SP;JET;12.24;3
0012406185395;Santo André;SP;BPS;22.72;11
0012406655228;Biguaçu;SC;JET;15.7;3
0012406655228;Biguaçu;SC;BPS;25.54;7
0012406456072;Piúma;ES;JET;13.19;9
0012406456072;Piúma;ES;BPS;24.76;10
0012406752613;Belford Roxo;RJ;JET;11;8
0012406752613;Belford Roxo;RJ;BPS;34.85;9
0012406916374;São Paulo;SP;JET;10.67;3
0012406916374;São Paulo;SP;BPS;20.8;11
0012406263313;São Luís;MA;JET;14.71;11
0012406263313;São Luís;MA;BPS;19.67;20
0012406296936;Marialva;PR;JET;14.65;6
0012406296936;Marialva;PR;BPS;28.57;11
0012406477891;São Bernardo do Campo;SP;JET;11.51;4
0012406477891;São Bernardo do Campo;SP;BPS;22.51;11
0012406703463;São Carlos;SP;JET;14.77;5
0012406703463;São Carlos;SP;BPS;23.31;9
0012406549043;Jaíba;MG;JET;12.78;10
0012406549043;Jaíba;MG;BPS;34.81;13
0012406904182;Fernandópolis;SP;JET;11.49;6
0012406904182;Fernandópolis;SP;BPS;21.64;10
0012406803433;São Paulo;SP;JET;11.42;3
0012406803433;São Paulo;SP;BPS;22.31;11
0012406156256;Porto Velho;RO;JET;20.76;13
0012406156256;Porto Velho;RO;BPS;61.76;18
0012406149854;Cariacica;ES;JET;11.4;6
0012406149854;Cariacica;ES;BPS;25.66;9
0012406225649;Hortolândia;SP;JET;11.7;5
0012406225649;Hortolândia;SP;BPS;24.97;9
0012406691922;Santo André;SP;JET;10.56;3
0012406691922;Santo André;SP;BPS;21.59;11
0012406063231;Brasília;DF;JET;14.67;6
0012406063231;Brasília;DF;BPS;23.25;9
0012406970706;Mauá;SP;JET;12.97;3
0012406970706;Mauá;SP;BPS;22.93;11
0012406825377;Caculé;BA;JET;17.22;10
0012406825377;Caculé;BA;BPS;79.75;13
0012406126298;Brasília;DF;JET;16.11;5
0012406126298;Brasília;DF;BPS;23.46;9
0012406130942;Guarulhos;SP;JET;11.51;4
0012406130942;Guarulhos;SP;BPS;22.33;11
0012406369285;São Gonçalo;RJ;JET;11.59;7
0012406369285;São Gonçalo;RJ;BPS;41.57;9
0012406017350;Barueri;SP;JET;13.89;4
0012406017350;Barueri;SP;BPS;23.08;11
0012406699986;Nova Era;MG;JET;12.92;8
0012406699986;Nova Era;MG;BPS;28.86;12
0012406907980;Mauá;SP;JET;11.46;3
0012406907980;Mauá;SP;BPS;22.5;11
0012406340336;São Paulo;SP;JET;14.75;4
0012406340336;São Paulo;SP;BPS;23.2;11
0012406415151;Aparecida de Goiânia;GO;JET;12.14;6
0012406415151;Aparecida de Goiânia;GO;BPS;19.8;10
0012406761444;Manacapuru;AM;JET;25.03;16
0012406761444;Manacapuru;AM;BPS;97.33;31
0012406507439;Pedreira;SP;JET;11.99;5
0012406507439;Pedreira;SP;BPS;24.97;9
0012406093206;Crato;CE;JET;20.86;15
0012406093206;Crato;CE;BPS;39.61;11
0012406542340;Serra;ES;JET;11.38;7
0012406542340;Serra;ES;BPS;23.39;9
0012406054523;Jaboatão dos Guararapes;PE;JET;15.01;9
0012406054523;Jaboatão dos Guararapes;PE;BPS;19.79;12
0012406482100;Vila Velha;ES;JET;10.19;6
0012406482100;Vila Velha;ES;BPS;20.48;9
0012406942028;Campo Grande;MS;JET;11.51;10
0012406942028;Campo Grande;MS;BPS;19.79;10
0012406070795;Cariacica;ES;JET;10.38;6
0012406070795;Cariacica;ES;BPS;20.47;9
0012406722689;Governador Valadares;MG;JET;11.03;6
0012406722689;Governador Valadares;MG;BPS;20.83;9
0012406449519;Sorocaba;SP;JET;11.46;4
0012406449519;Sorocaba;SP;BPS;22.27;9
0012406082249;Imperatriz;MA;JET;17.52;15
0012406082249;Imperatriz;MA;BPS;19.87;12
0012406845910;São Luís;MA;JET;15.68;12
0012406845910;São Luís;MA;BPS;19.85;20
0012406166208;Francisco Morato;SP;JET;11.44;5
0012406166208;Francisco Morato;SP;BPS;21.63;11
0012406136516;Carlos Chagas;MG;JET;11.99;8
0012406136516;Carlos Chagas;MG;BPS;21.64;12
0012406461626;São José do Rio Preto;SP;JET;12.97;5
0012406461626;São José do Rio Preto;SP;BPS;27.05;8
0012406445782;Crato;CE;JET;20.99;15
0012406445782;Crato;CE;BPS;39.73;11
0012406800957;Goiana;PE;JET;17.14;11
0012406800957;Goiana;PE;BPS;66.67;14
0012406780664;Orocó;PE;JET;16.46;22
0012406780664;Orocó;PE;BPS;66.67;18
0012406502842;Nova Iguaçu;RJ;JET;10.82;6
0012406502842;Nova Iguaçu;RJ;BPS;34.85;9
0012406789807;Recife;PE;JET;14.99;7
0012406789807;Recife;PE;BPS;19.8;12
0012406001799;Arujá;SP;JET;12.16;5
0012406001799;Arujá;SP;BPS;22.62;11
0012406379105;Rio de Janeiro;RJ;JET;10.92;4
0012406379105;Rio de Janeiro;RJ;BPS;34.04;9
0012406886110;Teixeira de Freitas;BA;JET;16.12;9
0012406886110;Teixeira de Freitas;BA;BPS;79.27;18
0012406155875;Volta Redonda;RJ;JET;11.73;6
0012406155875;Volta Redonda;RJ;BPS;23.79;9
0012406197034;Porto Alegre;RS;JET;10.45;4
0012406197034;Porto Alegre;RS;BPS;20.65;9
0012406787078;Mandaguaçu;PR;JET;13.87;7
0012406787078;Mandaguaçu;PR;BPS;21;10
0012406180697;São Gonçalo;RJ;JET;10.86;7
0012406180697;São Gonçalo;RJ;BPS;34.86;9
0012406182690;Rio de Janeiro;RJ;JET;10.87;4
0012406182690;Rio de Janeiro;RJ;BPS;32.42;9
0012406308433;São José da Coroa Grande;PE;JET;16.46;10
0012406308433;São José da Coroa Grande;PE;BPS;66.67;14
0012406638527;Belém;PA;JET;15.8;13
0012406638527;Belém;PA;BPS;19.85;13
0012406340629;Santa Rita;PB;JET;17.35;14
0012406340629;Santa Rita;PB;BPS;20.64;12
0012406679307;Santa Bárbara D'Oeste;SP;JET;10.94;5
0012406679307;Santa Bárbara D'Oeste;SP;BPS;21.63;9
0012406872285;Brejolândia;BA;JET;14.68;11
0012406872285;Brejolândia;BA;BPS;66.58;14
0012406428879;Rio de Janeiro;RJ;JET;10.87;4
0012406428879;Rio de Janeiro;RJ;BPS;34.03;9
0012406849776;Porto Alegre;RS;JET;11.16;4
0012406849776;Porto Alegre;RS;BPS;23.04;9
0012406610668;São Paulo;SP;JET;11.46;3
0012406610668;São Paulo;SP;BPS;22.32;11
0012406630889;Queluz;SP;JET;12.6;6
0012406630889;Queluz;SP;BPS;26.61;13
0012406383774;Goiânia;GO;JET;12.81;6
0012406383774;Goiânia;GO;BPS;23.69;10
0012406706118;Águas Formosas;MG;JET;13.45;9
0012406706118;Águas Formosas;MG;BPS;32.07;16
0012406151168;Santarém;PA;JET;26.75;18
0012406151168;Santarém;PA;BPS;204.55;21
0012406393214;Campo Verde;MT;JET;16.95;10
0012406393214;Campo Verde;MT;BPS;124.05;17
0012406720340;Campina Grande;PB;JET;18.5;10
0012406720340;Campina Grande;PB;BPS;31.43;12
0012406106870;Itupeva;SP;JET;12.33;6
0012406106870;Itupeva;SP;BPS;25.18;10
0012406627698;Japeri;RJ;JET;12.16;6
0012406627698;Japeri;RJ;BPS;41.69;9
0012406320899;São Paulo;SP;JET;12.85;3
0012406320899;São Paulo;SP;BPS;22.71;11
0012406204634;São Paulo;SP;JET;9.25;3
0012406204634;São Paulo;SP;BPS;20.17;11
0012406543890;Cruz das Almas;BA;JET;16.54;9
0012406543890;Cruz das Almas;BA;BPS;79.29;13
0012406578810;Inhumas;GO;JET;14.68;9
0012406578810;Inhumas;GO;BPS;26.81;11
0012406683022;Teresina;PI;JET;15.5;10
0012406683022;Teresina;PI;BPS;19.83;19
0012406562541;Alegrete do Piauí;PI;JET;15.92;22
