Código do Pedido;Nome do destino;UF do destino;Código do serviço;Valor;Prazo Final
12404947874;Vitória;ES;RDN;137.92;7
12404947874;Vitória;ES;DAY;79.06;2
12404947874;Vitória;ES;STT;91.58;5
12404947874;Vitória;ES;NTV;142.42;8
12404947874;Vitória;ES;DML;79.57;10
12404947874;Vitória;ES;DEC;173.4;10
12404145307;Maringá;PR;ZNT;156.73;7
12404145307;Maringá;PR;NTV;114.63;5
12404145307;Maringá;PR;BAU;138.61;1
12404145307;Maringá;PR;DML;149.49;8
12404145307;Maringá;PR;DEC;143.11;10
12404972126;Brasília;DF;STT;27.97;7
12404972126;Brasília;DF;NTV;103.34;8
12404972126;Brasília;DF;ATC;104.08;9
12404072341;Jaú;SP;RDN;60.24;8
12404072341;Jaú;SP;STT;53.62;6
12404072341;Jaú;SP;NTV;148.09;7
12404072341;Jaú;SP;DEC;154.86;10
12404127281;Itaqui;RS;RDN;234.36;7
12404127281;Itaqui;RS;STT;134.92;7
12404127281;Itaqui;RS;BAU;116.31;2
12404127281;Itaqui;RS;DML;184.73;13
12404127281;Itaqui;RS;DEC;185.1;10
12404797582;Salvador;BA;NTV;199.52;14
12404797582;Salvador;BA;DML;235.91;11
12404797582;Salvador;BA;ATC;276.93;10
12404797582;Salvador;BA;MAN;232.13;10
12404479759;Santo André;SP;GSM;27.91;4
12404479759;Santo André;SP;DAY;45.39;1
12404479759;Santo André;SP;STT;38.96;5
12404479759;Santo André;SP;NEX;93.8;3
12404479759;Santo André;SP;D10;105.2;7
12404479759;Santo André;SP;DE6;40.24;3
12404479759;Santo André;SP;DML;72.52;8
12404479759;Santo André;SP;DEC;111.96;8
12404479759;Santo André;SP;TRV;117.79;4
12404388845;São Paulo;SP;NTV;208.98;6
12404388845;São Paulo;SP;D10;115.92;7
12404388845;São Paulo;SP;DE6;55.32;3
12404388845;São Paulo;SP;DML;102.65;7
12404388845;São Paulo;SP;DEC;57.97;8
12404072283;Rio de Janeiro;RJ;NTV;192.8;7
12404072283;Rio de Janeiro;RJ;DEC;185.15;10
12404851545;Brasília;DF;RDN;332.98;5
12404851545;Brasília;DF;STT;611.99;6
12404851545;Brasília;DF;NTV;587.01;9
12404851545;Brasília;DF;ATC;275.2;7
12404181762;Rio de Janeiro;RJ;NTV;160.82;7
12404181762;Rio de Janeiro;RJ;D10;96.99;5
12404181762;Rio de Janeiro;RJ;DEC;184.24;10
12404179280;Campinas;SP;RDN;83.39;4
12404179280;Campinas;SP;DAY;61.59;1
12404179280;Campinas;SP;STT;48.98;5
12404179280;Campinas;SP;NTV;635.1;6
12404179280;Campinas;SP;D10;90.99;5
12404179280;Campinas;SP;DE6;73.37;4
12404179280;Campinas;SP;DEC;209.46;10
12404179280;Campinas;SP;TRV;117.79;4
12404696406;São Paulo;SP;NTV;208.78;6
12404696406;São Paulo;SP;D10;115.29;7
12404696406;São Paulo;SP;DE6;54.98;3
12404696406;São Paulo;SP;DML;101.86;7
12404696406;São Paulo;SP;DEC;57.81;8
12404584473;Maceió;AL;STT;804.6;8
12404584473;Maceió;AL;NTV;272.12;14
12404584473;Maceió;AL;DML;304.7;12
12404584473;Maceió;AL;ATC;319.93;10
12404584473;Maceió;AL;MAN;209.84;10
12404819911;Porto Alegre;RS;ZNT;134.79;8
12404819911;Porto Alegre;RS;BAU;58.31;1
12404819911;Porto Alegre;RS;DML;93.05;6
12404819911;Porto Alegre;RS;DEC;151.47;8
12404669537;São Paulo;SP;GSM;24.7;4
12404669537;São Paulo;SP;DAY;45.49;1
12404669537;São Paulo;SP;STT;36.7;5
12404669537;São Paulo;SP;NTV;192.41;6
12404669537;São Paulo;SP;NEX;93.06;3
12404669537;São Paulo;SP;D10;95.96;7
12404669537;São Paulo;SP;DE6;39.42;3
12404669537;São Paulo;SP;DML;68.28;7
12404669537;São Paulo;SP;DEC;57.04;8
12404876740;Fortaleza;CE;NTV;205.56;16
12404876740;Fortaleza;CE;DML;76.35;13
12404876740;Fortaleza;CE;ATC;165.69;11
12404160663;Porto Alegre;RS;RDN;85.69;4
12404160663;Porto Alegre;RS;DAY;58.03;2
12404160663;Porto Alegre;RS;STT;42.66;4
12404160663;Porto Alegre;RS;ZNT;122.57;8
12404160663;Porto Alegre;RS;BAU;47.91;1
12404160663;Porto Alegre;RS;DML;71.16;6
12404160663;Porto Alegre;RS;DEC;150.42;8
12404822926;São Paulo;SP;GSM;25.82;4
12404822926;São Paulo;SP;DAY;79.69;1
12404822926;São Paulo;SP;STT;67.66;5
12404822926;São Paulo;SP;NTV;606.2;6
12404822926;São Paulo;SP;NEX;101.99;3
12404822926;São Paulo;SP;D10;114.39;7
12404822926;São Paulo;SP;DE6;40.62;3
12404822926;São Paulo;SP;DML;100.74;7
12404822926;São Paulo;SP;DEC;57.58;8
12404636559;Taubaté;SP;NTV;273.82;7
12404636559;Taubaté;SP;DEC;111.65;9
12404636559;Taubaté;SP;TRV;152.06;7
12404285447;Uberlândia;MG;RDN;130.77;5
12404285447;Uberlândia;MG;STT;187.76;5
12404285447;Uberlândia;MG;NTV;670.81;9
12404285447;Uberlândia;MG;DML;162.11;13
12404494632;Louveira;SP;NTV;304.05;6
12404494632;Louveira;SP;D10;134.14;7
12404494632;Louveira;SP;DE6;77.9;4
12404494632;Louveira;SP;DEC;156.97;10
12404494632;Louveira;SP;TRV;187.6;4
12404170715;Belo Horizonte;MG;DAY;99.23;2
12404170715;Belo Horizonte;MG;STT;84.77;5
12404170715;Belo Horizonte;MG;NTV;111.46;6
12404170715;Belo Horizonte;MG;D10;175.15;4
12404170715;Belo Horizonte;MG;DML;95.35;10
12404432297;Petrópolis;RJ;RDN;148.1;8
12404432297;Petrópolis;RJ;STT;147.55;6
12404432297;Petrópolis;RJ;NTV;634.84;10
12404432297;Petrópolis;RJ;D10;124.63;8
12404432297;Petrópolis;RJ;DEC;209.53;11
12404128514;São Bernardo do Campo;SP;GSM;29.23;4
12404128514;São Bernardo do Campo;SP;DAY;45.39;1
12404128514;São Bernardo do Campo;SP;STT;38.96;5
12404128514;São Bernardo do Campo;SP;NTV;635.1;6
12404128514;São Bernardo do Campo;SP;NEX;93.8;3
12404128514;São Bernardo do Campo;SP;D10;105.2;7
12404128514;São Bernardo do Campo;SP;DE6;40.24;3
12404128514;São Bernardo do Campo;SP;DML;72.52;8
12404128514;São Bernardo do Campo;SP;DEC;57.41;8
12404128514;São Bernardo do Campo;SP;TRV;117.79;4
12404057775;São Paulo;SP;GSM;19.03;4
12404057775;São Paulo;SP;DAY;68.24;1
12404057775;São Paulo;SP;STT;60.1;5
12404057775;São Paulo;SP;NTV;207.73;6
12404057775;São Paulo;SP;NEX;100.87;3
12404057775;São Paulo;SP;D10;112.17;7
12404057775;São Paulo;SP;DE6;39.39;3
12404057775;São Paulo;SP;DML;97.96;7
12404057775;São Paulo;SP;DEC;57.03;8
12404233664;Goiânia;GO;NTV;514.98;7
12404233664;Goiânia;GO;ATC;208.7;4
12404380907;Rio de Janeiro;RJ;RDN;178.13;8
12404380907;Rio de Janeiro;RJ;STT;101.66;5
12404380907;Rio de Janeiro;RJ;NTV;160.82;7
12404380907;Rio de Janeiro;RJ;D10;97.94;5
12404380907;Rio de Janeiro;RJ;DEC;238.98;10
12404244391;São Paulo;SP;GSM;17.54;4
12404244391;São Paulo;SP;DAY;30.11;1
12404244391;São Paulo;SP;STT;21.51;5
12404244391;São Paulo;SP;NTV;590;6
12404244391;São Paulo;SP;NEX;92.85;3
12404244391;São Paulo;SP;D10;95.54;7
12404244391;São Paulo;SP;DE6;39.19;3
12404244391;São Paulo;SP;DML;55.85;7
12404244391;São Paulo;SP;DEC;111.48;8
12404359534;Santa Bárbara D'Oeste;SP;RDN;85.69;4
12404359534;Santa Bárbara D'Oeste;SP;STT;56.94;6
12404359534;Santa Bárbara D'Oeste;SP;NTV;237.33;6
12404359534;Santa Bárbara D'Oeste;SP;D10;90.87;5
12404359534;Santa Bárbara D'Oeste;SP;DE6;130.11;4
12404359534;Santa Bárbara D'Oeste;SP;DEC;154.88;10
12404359534;Santa Bárbara D'Oeste;SP;TRV;117.68;4
12404193849;São Paulo;SP;GSM;27.82;4
12404193849;São Paulo;SP;DAY;50.1;1
12404193849;São Paulo;SP;STT;38.49;5
12404193849;São Paulo;SP;NTV;192.72;6
12404193849;São Paulo;SP;NEX;93.52;3
12404193849;São Paulo;SP;D10;104.64;7
12404193849;São Paulo;SP;DE6;39.93;3
12404193849;São Paulo;SP;DML;69.43;7
12404193849;São Paulo;SP;DEC;57.27;8
12404877218;São Paulo;SP;GSM;17.63;4
12404877218;São Paulo;SP;DAY;30.61;1
12404877218;São Paulo;SP;STT;21.97;5
12404877218;São Paulo;SP;NTV;192.46;6
12404877218;São Paulo;SP;NEX;93.13;3
12404877218;São Paulo;SP;D10;96.1;7
12404877218;São Paulo;SP;DE6;39.5;3
12404877218;São Paulo;SP;DML;56.55;7
12404877218;São Paulo;SP;DEC;111.62;8
12404701566;Santa Bárbara D'Oeste;SP;RDN;99.6;4
12404701566;Santa Bárbara D'Oeste;SP;STT;103.29;6
12404701566;Santa Bárbara D'Oeste;SP;NTV;274.01;6
12404701566;Santa Bárbara D'Oeste;SP;D10;110.73;5
12404701566;Santa Bárbara D'Oeste;SP;DE6;131.55;4
12404701566;Santa Bárbara D'Oeste;SP;DEC;155.53;10
12404701566;Santa Bárbara D'Oeste;SP;TRV;152.57;4
12404435356;Flórida Paulista;SP;RDN;85.69;8
12404435356;Flórida Paulista;SP;STT;86.78;6
12404435356;Flórida Paulista;SP;NTV;635.09;9
12404435356;Flórida Paulista;SP;DEC;247.52;9
12404734375;Porto Alegre;RS;RDN;60.24;4
12404734375;Porto Alegre;RS;DAY;40.21;2
12404734375;Porto Alegre;RS;STT;20.18;4
12404734375;Porto Alegre;RS;ZNT;121.62;8
12404734375;Porto Alegre;RS;BAU;34.93;1
12404734375;Porto Alegre;RS;DML;47.1;6
12404734375;Porto Alegre;RS;DEC;150.22;8
12404646296;Lagoa Santa;MG;STT;153.76;8
12404646296;Lagoa Santa;MG;D10;178.21;7
12404646296;Lagoa Santa;MG;DML;129.89;11
12404102302;Rio Negro;PR;RDN;75.82;3
12404102302;Rio Negro;PR;STT;198.11;7
12404102302;Rio Negro;PR;BAU;140.93;1
12404102302;Rio Negro;PR;DML;150.23;10
12404102302;Rio Negro;PR;DEC;333.58;10
12404102302;Rio Negro;PR;TRV;154.99;4
12404540642;Marilândia;ES;RDN;116.15;8
12404540642;Marilândia;ES;STT;31.55;15
12404540642;Marilândia;ES;NTV;589.09;10
12404540642;Marilândia;ES;DML;87;15
12404540642;Marilândia;ES;DEC;196.52;11
12404092699;Ribeirão Preto;SP;RDN;129.23;4
12404092699;Ribeirão Preto;SP;STT;243.58;5
12404092699;Ribeirão Preto;SP;NTV;593.5;7
12404092699;Ribeirão Preto;SP;D10;126.78;7
12404092699;Ribeirão Preto;SP;DEC;111.38;9
12404390206;Formiga;MG;RDN;87.26;5
12404390206;Formiga;MG;STT;28.47;9
12404390206;Formiga;MG;NTV;199.46;9
12404390206;Formiga;MG;D10;264.79;7
12404390206;Formiga;MG;DML;87.18;16
12404803326;São Paulo;SP;NEX;92.6;3
12404803326;São Paulo;SP;D10;151.85;7
12404803326;São Paulo;SP;DE6;38.91;3
12404803326;São Paulo;SP;DML;55.22;7
12404803326;São Paulo;SP;DEC;56.81;8
12404803326;São Paulo;SP;TRV;115.58;4
12404149807;Foz do Iguaçu;PR;RDN;116.56;4
12404149807;Foz do Iguaçu;PR;STT;151.46;7
12404149807;Foz do Iguaçu;PR;ZNT;153.11;7
12404149807;Foz do Iguaçu;PR;NTV;113.85;7
12404149807;Foz do Iguaçu;PR;BAU;104.41;1
12404149807;Foz do Iguaçu;PR;DML;126.57;8
12404149807;Foz do Iguaçu;PR;DEC;142.33;10
12404752230;Ubatuba;SP;RDN;107.56;10
12404752230;Ubatuba;SP;STT;54.63;8
12404752230;Ubatuba;SP;D10;105.13;7
12404752230;Ubatuba;SP;DEC;111.15;9
12404067622;Rio de Janeiro;RJ;RDN;177.67;8
12404067622;Rio de Janeiro;RJ;STT;112.2;5
12404067622;Rio de Janeiro;RJ;NTV;558.55;7
12404067622;Rio de Janeiro;RJ;D10;105.55;5
12404067622;Rio de Janeiro;RJ;DEC;238.29;10
12404625687;Rio de Janeiro;RJ;RDN;158.79;8
12404625687;Rio de Janeiro;RJ;STT;61.82;5
12404625687;Rio de Janeiro;RJ;NTV;151.88;7
12404625687;Rio de Janeiro;RJ;D10;86.3;5
12404625687;Rio de Janeiro;RJ;DEC;183.35;10
12404139729;Florianópolis;SC;RDN;68.11;5
12404139729;Florianópolis;SC;DAY;54.65;2
12404139729;Florianópolis;SC;STT;16.9;3
12404139729;Florianópolis;SC;ZNT;130.62;7
12404139729;Florianópolis;SC;BAU;37.42;1
12404139729;Florianópolis;SC;DML;54.98;6
12404139729;Florianópolis;SC;DEC;88;6
12404787796;Camaquã;RS;RDN;86.61;6
12404787796;Camaquã;RS;STT;25.49;8
12404787796;Camaquã;RS;BAU;43.21;2
12404787796;Camaquã;RS;DML;199.35;13
12404787796;Camaquã;RS;DEC;150.36;10
12404526185;Barrolândia;TO;NTV;575.86;12
12404526185;Barrolândia;TO;ATC;422.99;10
12404885761;Rio de Janeiro;RJ;RDN;177.93;8
12404885761;Rio de Janeiro;RJ;STT;101.15;5
12404885761;Rio de Janeiro;RJ;NTV;558.55;7
12404885761;Rio de Janeiro;RJ;D10;97.23;5
12404885761;Rio de Janeiro;RJ;DEC;238.83;10
12404161062;Capão do Leão;RS;BAU;122.05;2
