Código do Pedido;Nome do destino;UF do destino;Código do serviço;Valor;Prazo Final
12402766239;Formiga;MG;NTV;4984.45;9
12402766239;Formiga;MG;DML;2232.82;16
12404474121;Feira de Santana;BA;NTV;452.33;14
12404474121;Feira de Santana;BA;VIP;558.71;10
12404474121;Feira de Santana;BA;DML;414.87;12
12404474121;Feira de Santana;BA;ATC;525.49;10
12403888718;Ipatinga;MG;NTV;276.2;9
12403888718;Ipatinga;MG;VIP;264.89;7
12403888718;Ipatinga;MG;DML;185.68;13
12404594316;Niterói;RJ;RDN;352.84;7
12404594316;Niterói;RJ;STT;576.79;6
12404594316;Niterói;RJ;NTV;664.58;8
12404594316;Niterói;RJ;VIP;309.29;5
12404888718;Cuiabá;MT;RDN;314.55;14
12404888718;Cuiabá;MT;NTV;137.1;7
12404888718;Cuiabá;MT;ATC;246.17;10
12404889449;Dourados;MS;RDN;155.55;9
12404889449;Dourados;MS;STT;216.19;11
12404889449;Dourados;MS;NTV;123.2;8
12404889449;Dourados;MS;ATC;267.55;9
12404812303;São Paulo;SP;STT;293.49;5
12404812303;São Paulo;SP;NTV;629.53;6
12404812303;São Paulo;SP;VIP;272.67;4
12404812303;São Paulo;SP;DML;156.63;7
12404016118;Recife;PE;NTV;978.03;14
12404016118;Recife;PE;MAN;519.32;11
12404016118;Recife;PE;DML;742.89;12
12404016118;Recife;PE;ATC;843.8;10
12404523236;Jaguaquara;BA;NTV;1745.75;20
12404523236;Jaguaquara;BA;MAN;847.34;14
12404523236;Jaguaquara;BA;DML;993.51;18
12404523236;Jaguaquara;BA;ATC;1424.72;13
12403007627;São Gonçalo;RJ;NTV;642.73;8
12403007627;São Gonçalo;RJ;VIP;684.22;5
12404612210;Joinville;SC;BAU;212.46;1
12404612210;Joinville;SC;VIP;259.91;2
12404612210;Joinville;SC;DML;217.6;9
12402033192;Morro Reuter;RS;BAU;696.13;2
12402033192;Morro Reuter;RS;VIP;741.82;3
12402033192;Morro Reuter;RS;DML;639.07;13
12403273466;Erechim;RS;RDN;102.08;5
12403273466;Erechim;RS;STT;110.14;6
12403273466;Erechim;RS;BAU;116.69;1
12403273466;Erechim;RS;VIP;208.74;5
12403273466;Erechim;RS;DML;159.36;10
12404319476;Florianópolis;SC;BAU;118.9;1
12404319476;Florianópolis;SC;VIP;240.81;2
12404319476;Florianópolis;SC;DML;138.99;6
12403927121;Maringá;PR;RDN;232.85;6
12403927121;Maringá;PR;STT;557.45;4
12403927121;Maringá;PR;NTV;657.14;5
12403927121;Maringá;PR;BAU;274.97;1
12403927121;Maringá;PR;VIP;331.33;4
12403927121;Maringá;PR;DML;216.42;8
12404816028;Mesquita;RJ;VIP;379.97;5
12403150475;Maringá;PR;RDN;87.43;6
12403150475;Maringá;PR;STT;91.63;4
12403150475;Maringá;PR;NTV;510.84;5
12403150475;Maringá;PR;BAU;84.52;1
12403150475;Maringá;PR;VIP;184.33;4
12403150475;Maringá;PR;DML;105.04;8
12403016118;Angra dos Reis;RJ;RDN;154.45;7
12403016118;Angra dos Reis;RJ;STT;227.52;9
12403016118;Angra dos Reis;RJ;NTV;685.99;10
12403016118;Angra dos Reis;RJ;VIP;256.3;8
12403212451;São Paulo;SP;NTV;1152.69;6
12403212451;São Paulo;SP;VIP;630.78;4
12403212451;São Paulo;SP;DML;396.35;7
12403033192;Ribeirão Preto;SP;RDN;111.44;4
12403033192;Ribeirão Preto;SP;STT;157.4;5
12403033192;Ribeirão Preto;SP;NTV;165.38;7
12403033192;Ribeirão Preto;SP;VIP;241.73;6
12403889449;Votuporanga;SP;RDN;129.46;6
12403889449;Votuporanga;SP;STT;288.22;9
12403889449;Votuporanga;SP;NTV;302.56;9
12403889449;Votuporanga;SP;VIP;344.15;7
12403947229;Praia Grande;SP;VIP;515.01;4
12403398235;Maceió;AL;STT;1744.35;8
12403398235;Maceió;AL;NTV;692.12;14
12403398235;Maceió;AL;MAN;333.25;10
12403398235;Maceió;AL;DML;622.24;12
12403398235;Maceió;AL;ATC;600.88;10
12404481071;Camaçari;BA;NTV;231.88;14
12404481071;Camaçari;BA;MAN;224.15;11
12404481071;Camaçari;BA;VIP;401.35;10
12404481071;Camaçari;BA;DML;266.02;12
12404481071;Camaçari;BA;ATC;357.51;11
12403395726;Curitiba;PR;RDN;79.4;3
12403395726;Curitiba;PR;NTV;108.29;3
12403395726;Curitiba;PR;BAU;110.28;1
12403395726;Curitiba;PR;VIP;239.47;2
12403395726;Curitiba;PR;DML;98.95;5
12403614990;Niterói;RJ;NTV;702.83;8
12403614990;Niterói;RJ;VIP;481.91;5
12403339991;São Paulo;SP;NTV;764.37;6
12403339991;São Paulo;SP;VIP;335.94;4
12403339991;São Paulo;SP;DML;223;7
12403759352;São Leopoldo;RS;BAU;335.82;1
12403759352;São Leopoldo;RS;VIP;495.75;3
12403759352;São Leopoldo;RS;DML;267.3;7
12404271745;Campinas;SP;RDN;97.1;4
12404271745;Campinas;SP;STT;73.82;6
12404271745;Campinas;SP;NTV;272.8;6
12404271745;Campinas;SP;VIP;204.45;5
12403163353;Goiânia;GO;RDN;230.02;5
12403163353;Goiânia;GO;NTV;134.71;7
12403163353;Goiânia;GO;ATC;203.47;4
12403314990;São Paulo;SP;STT;487.78;5
12403314990;São Paulo;SP;NTV;706.81;6
12403314990;São Paulo;SP;VIP;288.75;4
12403314990;São Paulo;SP;DML;202.02;7
12404284780;Rio de Janeiro;RJ;RDN;352.84;8
12404284780;Rio de Janeiro;RJ;STT;537.81;5
12404284780;Rio de Janeiro;RJ;NTV;664.58;7
12404284780;Rio de Janeiro;RJ;VIP;309.29;5
12403257371;Brasília;DF;NTV;930.18;8
12403257371;Brasília;DF;ATC;724.97;7
12403158675;Rio de Janeiro;RJ;RDN;318.58;8
12403158675;Rio de Janeiro;RJ;STT;465.4;5
12403158675;Rio de Janeiro;RJ;NTV;239.03;7
12403158675;Rio de Janeiro;RJ;VIP;304.98;5
12403812303;Alfenas;MG;NTV;328.37;9
12403812303;Alfenas;MG;VIP;389.18;8
12403812303;Alfenas;MG;DML;283.16;16
12404194369;São Paulo;SP;STT;372.64;5
12404194369;São Paulo;SP;NTV;661.31;6
12404194369;São Paulo;SP;VIP;278.58;4
12404194369;São Paulo;SP;DML;176.54;7
12404194369;São Paulo;SP;NEX;178.65;3
12403180865;Belo Horizonte;MG;NTV;136.07;6
12403180865;Belo Horizonte;MG;VIP;213.72;4
12403180865;Belo Horizonte;MG;DML;172.65;10
12403363560;Porto Alegre;RS;RDN;99.6;4
