Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012407603459;Passo Fundo;RS;LGG;137,00;1
0012407946823;União da Vitória;PR;LGG;43,00;1
0012407177836;Blumenau;SC;DAY;19,00;1
0012407177836;Blumenau;SC;LGG;36,00;1
0012407657636;Niterói;RJ;DAY;300,00;3
0012407657636;Niterói;RJ;DAY;300,00;3
0012407449761;Gaspar;SC;DAY;35,00;1
0012407446517;Bento Gonçalves;RS;LGG;176,00;1
0012407461158;Curitiba;PR;DAY;42,00;1
0012407202476;São Paulo;SP;DAY;49,00;1
0012407202476;São Paulo;SP;LGG;49,00;1
0012406785931;Porto Alegre;RS;DAY;239,00;2
0012407381693;São Paulo;SP;DAY;29,00;1
0012407381693;São Paulo;SP;LGG;17,00;1
0012407255446;Volta Redonda;RJ;LGG;34,00;1
0012407200022;Rio de Janeiro;RJ;DAY;51,00;2
0012407200022;Rio de Janeiro;RJ;LGG;29,00;1
0012407343932;Brasília;DF;LGG;108,00;1
0012407917983;Belo Horizonte;MG;DAY;111,00;2
0012407758840;Formiga;MG;LGG;8,00;1
0012406518294;Curitiba;PR;DAY;58,00;1
0012406518294;Curitiba;PR;LGG;135,00;1
0012406740213;Goiânia;GO;DAY;127,00;3
0012406740213;Goiânia;GO;LGG;112,00;1
0012407919880;Salvador;BA;LGG;26,00;1
0012407989749;Criciúma;SC;LGG;134,00;1
0012407909553;São Paulo;SP;DAY;28,00;1
0012407909553;São Paulo;SP;LGG;15,00;1
0012406532059;Jaraguá do Sul;SC;DAY;91,00;1
0012407424948;São Paulo;SP;DAY;28,00;1
0012407424948;São Paulo;SP;LGG;15,00;1
0012407184505;Florianópolis;SC;DAY;25,00;2
0012407184505;Florianópolis;SC;LGG;23,00;1
0012407392983;Campo Grande;MS;LGG;7,00;1
0012407051705;Arapiraca;AL;LGG;16,00;1
0012406707866;Santo André;SP;DAY;117,00;1
0012407132820;Niterói;RJ;DAY;62,00;3
