Código do Pedido;Nome do destino;UF do destino;Código do serviço;Valor;Prazo Final
12404947874;Vitória;ES;DAY;79.06;2
12404145307;Maringá;PR;NTV;114.63;5
12404972126;Brasília;DF;STT;27.97;7
12404072341;Jaú;SP;STT;53.62;6
12404127281;Itaqui;RS;BAU;116.31;2
12404797582;Salvador;BA;NTV;199.52;14
12404479759;Santo André;SP;GSM;27.91;4
12404388845;São Paulo;SP;DE6;55.32;3
12404072283;Rio de Janeiro;RJ;DEC;185.15;10
12404851545;Brasília;DF;ATC;275.2;7
12404181762;Rio de Janeiro;RJ;D10;96.99;5
12404179280;Campinas;SP;STT;48.98;5
12404696406;São Paulo;SP;DE6;54.98;3
12404584473;Maceió;AL;MAN;209.84;10
12404819911;Porto Alegre;RS;BAU;58.31;1
12404669537;São Paulo;SP;GSM;24.7;4
12404876740;Fortaleza;CE;DML;76.35;13
12404160663;Porto Alegre;RS;STT;42.66;4
12404822926;São Paulo;SP;GSM;25.82;4
12404636559;Taubaté;SP;DEC;111.65;9
12404285447;Uberlândia;MG;RDN;130.77;5
12404494632;Louveira;SP;DE6;77.9;4
12404170715;Belo Horizonte;MG;STT;84.77;5
12404432297;Petrópolis;RJ;D10;124.63;8
12404128514;São Bernardo do Campo;SP;GSM;29.23;4
12404057775;São Paulo;SP;GSM;19.03;4
12404233664;Goiânia;GO;ATC;208.7;4
12404380907;Rio de Janeiro;RJ;D10;97.94;5
12404244391;São Paulo;SP;GSM;17.54;4
12404359534;Santa Bárbara D'Oeste;SP;STT;56.94;6
12404193849;São Paulo;SP;GSM;27.82;4
12404877218;São Paulo;SP;GSM;17.63;4
12404701566;Santa Bárbara D'Oeste;SP;RDN;99.6;4
12404435356;Flórida Paulista;SP;RDN;85.69;8
12404734375;Porto Alegre;RS;STT;20.18;4
12404646296;Lagoa Santa;MG;DML;129.89;11
12404102302;Rio Negro;PR;RDN;75.82;3
12404540642;Marilândia;ES;STT;31.55;15
12404092699;Ribeirão Preto;SP;DEC;111.38;9
12404390206;Formiga;MG;STT;28.47;9
12404803326;São Paulo;SP;DE6;38.91;3
12404149807;Foz do Iguaçu;PR;BAU;104.41;1
12404752230;Ubatuba;SP;STT;54.63;8
12404067622;Rio de Janeiro;RJ;D10;105.55;5
12404625687;Rio de Janeiro;RJ;STT;61.82;5
12404139729;Florianópolis;SC;STT;16.9;3
12404787796;Camaquã;RS;STT;25.49;8
12404526185;Barrolândia;TO;ATC;422.99;10
12404885761;Rio de Janeiro;RJ;D10;97.23;5
12404161062;Capão do Leão;RS;BAU;122.05;2
12404358815;Londrina;PR;STT;32.53;4
12404834016;Santa Bárbara D'Oeste;SP;STT;48.98;6
12404519149;Guarulhos;SP;GSM;19.93;4
12404166865;Santa Bárbara D'Oeste;SP;STT;48.98;6
12404954103;Recife;PE;DML;230.14;12
12404712933;Guarulhos;SP;GSM;19.93;4
12404156378;Salvador;BA;NTV;199.52;14
12404633033;Ubatuba;SP;STT;28.07;8
12404470475;Uberlândia;MG;DML;555.51;13
12404266452;Nova Lima;MG;NTV;171.56;7
12404100727;Ribeirão Preto;SP;DEC;114.18;9
12404198039;Maringá;PR;BAU;71.73;1
12404475435;Santa Cruz do Sul;RS;BAU;121.43;1
12404160882;Florianópolis;SC;DEC;91.44;6
12404962269;Itajaí;SC;DEC;90.09;9
12404574471;Santa Cruz do Sul;RS;DEC;200.78;10
12404084086;São José dos Campos;SP;STT;82.34;5
12404122214;Marechal Cândido Rondon;PR;STT;43.59;8
12404332577;Itajaí;SC;BAU;74.51;1
12404236818;Serafina Corrêa;RS;DEC;240.64;10
12404625015;Goiânia;GO;NTV;163.46;7
12404520678;Jundiaí;SP;STT;40.76;6
