Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012404509393;;;DBA;28.6;2
0012404730946;;;ROD;36.8;7
0012404389954;;;RSU;10.53;5
0012404935018;;;RSU;10.34;5
0012404920501;;;ROD;16.18;8
0012404983913;;;CAR;9.68;2
0012404434999;;;CAR;13.47;4
0012404646951;;;CAR;11.88;3
0012404220017;;;CAR;7.89;2
0012404276260;;;RSU;10.62;5
0012404922839;;;CAR;11.88;3
0012404636256;;;RSU;9.81;4
0012404101114;;;RSU;10.18;5
0012404523794;;;ROD;9.91;3
0012404561053;;;ROD;10.03;5
0012404412397;;;RSU;9.81;4
0012404112624;;;ROD;10.35;4
0012404332555;;;RSU;10.46;5
0012404140499;;;ROD;10.64;4
0012404555266;;;CAR;9.75;2
0012404039546;;;RSU;10.67;5
0012404087223;;;RSU;10.79;5
0012404279849;;;DBA;10.6;3
0012404652095;;;RSU;10.46;5
0012404819329;;;RSU;10.46;4
0012404964053;;;RSU;10.31;5
0012404500808;;;RSU;11.01;4
0012404449347;;;RSU;12.3;5
0012404346340;;;CAR;12.84;3
0012404397624;;;RSU;9.81;4
0012404974839;;;RSU;10.46;5
0012404208185;;;CAR;10.28;2
0012404629874;;;RSU;9.53;4
0012404676171;;;CAR;15.36;8
0012404903854;;;RSU;10.46;5
0012404574257;;;CAR;8.38;2
0012404174633;;;DBA;12.13;3
0012404302928;;;CAR;13.29;3
0012404419214;;;CAR;8.38;2
0012404707868;;;ROD;11.12;4
0012404307348;;;CAR;11;5
0012404574043;;;RSU;10.46;5
0012404091389;;;DBA;12.02;8
0012404711802;;;CAR;8.38;2
0012404349207;;;CAR;9.37;2
0012404754608;;;RSU;10.46;5
0012404987612;;;ROD;11.97;6
0012404200319;;;RSU;10.46;5
0012404220942;;;ROD;10.82;4
0012404840756;;;RSU;10.46;5
0012404610226;;;CAR;7.56;2
0012404356353;;;CAR;13.29;3
0012404665490;;;ROD;9.94;4
0012404141515;;;RSU;10.46;5
0012404472161;;;RSU;10.46;5
0012404929117;;;RSU;10.22;5
0012404855352;;;DBA;18.78;9
0012404787344;;;ROD;12.05;5
0012404651196;;;RSU;9.81;4
0012404350008;;;CAR;8.38;2
0012404536744;;;CAR;12.79;2
0012404451723;;;ROD;10.82;4
0012404593024;;;RSU;10.18;5
0012404280259;;;RSU;10.63;5
0012404698603;;;DBA;9.52;1
0012404885927;;;RSU;10.67;5
0012404971909;;;ROD;9.05;3
0012404382733;;;RSU;10.49;5
0012404753431;;;CAR;7.56;2
0012404168592;;;RSU;10.49;5
0012404680901;;;ROD;9.88;3
0012404405469;;;DBA;7.62;1
0012404307757;;;CAR;13.21;8
0012404908287;;;DBA;11.5;3
0012404318051;;;DBA;11.43;3
0012404023987;;;RSU;10.18;5
0012404561292;;;DBA;13.31;3
0012404882693;;;CAR;7.61;2
0012404371760;;;RSU;10.46;5
0012404924112;;;DBA;13.61;5
0012404989900;;;ROD;9.02;4
0012404306371;;;ROD;9.52;5
