Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
12404509393;São José dos Campos;SP;DBA;28.6;2
12404730946;Barra Longa;MG;ROD;36.8;7
12404389954;Toledo;PR;RSU;10.53;5
12404935018;Caxias do Sul;RS;RSU;10.34;5
12404920501;Três Lagoas;MS;ROD;16.18;8
12404983913;São Paulo;SP;CAR;9.68;2
12404434999;Belo Horizonte;MG;CAR;13.47;4
12404646951;Rio de Janeiro;RJ;CAR;11.88;3
12404220017;São Caetano do Sul;SP;CAR;7.89;2
12404276260;Nova Pádua;RS;RSU;10.62;5
12404922839;Rio de Janeiro;RJ;CAR;11.88;3
12404636256;Porto Alegre;RS;RSU;9.81;4
12404101114;Nova Esperança do Sul;RS;RSU;10.18;5
12404523794;Jundiaí;SP;ROD;9.91;3
12404561053;Jaci;SP;ROD;10.03;5
12404412397;Porto Alegre;RS;RSU;9.81;4
12404112624;Rio de Janeiro;RJ;ROD;10.35;4
12404332555;Ipiranga;PR;RSU;10.46;5
12404140499;Belo Horizonte;MG;ROD;10.64;4
12404555266;Santana de Parnaíba;SP;CAR;9.75;2
12404039546;Luiz Alves;SC;RSU;10.67;5
12404087223;Iporã do Oeste;SC;RSU;10.79;5
12404279849;Brasília;DF;DBA;10.6;3
12404652095;Fazenda Rio Grande;PR;RSU;10.46;5
12404819329;São José dos Pinhais;PR;RSU;10.46;4
12404964053;Verê;PR;RSU;10.31;5
12404500808;Taió;SC;RSU;11.01;4
12404449347;Iraceminha;SC;RSU;12.3;5
12404346340;Bauru;SP;CAR;12.84;3
12404397624;Curitiba;PR;RSU;9.81;4
12404974839;Candiota;RS;RSU;10.46;5
12404208185;Campinas;SP;CAR;10.28;2
12404629874;Porto Alegre;RS;RSU;9.53;4
12404676171;Aracaju;SE;CAR;15.36;8
12404903854;Canoas;RS;RSU;10.46;5
12404574257;São Paulo;SP;CAR;8.38;2
12404174633;Piracicaba;SP;ROD;12.85;4
12404302928;Rio de Janeiro;RJ;CAR;13.29;3
12404419214;São Paulo;SP;CAR;8.38;2
12404707868;Contagem;MG;ROD;11.12;4
12404307348;São Sebastião;SP;CAR;11;5
12404574043;Eldorado do Sul;RS;RSU;10.46;5
12404091389;Recife;PE;DBA;12.02;8
12404711802;São Bernardo do Campo;SP;CAR;8.38;2
12404349207;Osasco;SP;CAR;9.37;2
12404754608;Caxias do Sul;RS;RSU;10.46;5
12404987612;Juiz de Fora;MG;ROD;11.97;6
12404200319;Santa Maria;RS;RSU;10.46;5
12404220942;Rio de Janeiro;RJ;ROD;10.82;4
12404840756;Rio Grande;RS;RSU;10.46;5
12404610226;São Paulo;SP;CAR;7.56;2
12404356353;Jundiaí;SP;CAR;13.29;3
12404665490;Atibaia;SP;ROD;9.94;4
12404141515;Canoas;RS;RSU;10.46;5
12404472161;Venâncio Aires;RS;RSU;10.46;5
12404929117;Contenda;PR;RSU;10.22;5
12404855352;Coruripe;AL;DBA;20.78;9
12404787344;Seropédica;RJ;ROD;12.05;5
12404651196;Porto Alegre;RS;RSU;9.81;4
12404350008;São Paulo;SP;CAR;8.38;2
12404536744;Salto;SP;CAR;12.79;2
12404451723;Rio de Janeiro;RJ;ROD;10.82;4
12404593024;Sant'Ana do Livramento;RS;RSU;10.18;5
12404280259;Joaçaba;SC;RSU;10.63;5
12404698603;São Paulo;SP;CAR;9.56;2
12404885927;Castro;PR;RSU;10.67;5
12404971909;Mogi das Cruzes;SP;ROD;9.05;3
12404382733;São Lourenço do Oeste;SC;RSU;10.49;5
12404753431;São Paulo;SP;CAR;7.56;2
12404168592;Barra Velha;SC;RSU;10.49;5
12404680901;Barueri;SP;ROD;9.88;3
12404405469;São Paulo;SP;DBA;7.62;1
12404307757;São Mateus;ES;CAR;13.21;8
12404908287;Goiânia;GO;DBA;11.5;3
12404318051;Brasília;DF;DBA;11.43;3
12404023987;Barra do Ouro;RS;RSU;10.18;5
12404561292;Goiânia;GO;DBA;15.31;3
12404882693;São Paulo;SP;CAR;7.61;2
12404371760;Alegrete;RS;RSU;10.46;5
12404924112;Salvador;BA;DBA;15.61;5
12404989900;Sorocaba;SP;ROD;9.02;4
12404306371;Jaú;SP;ROD;9.52;5
