Nome do destino;Código do serviço;Valor;Prazo Final
Belém/PA;MDLOGG;36.54;12
Belém/PA;GFL;53.06;10
Belém/PA;GFL;31.35;13
Belém/PA;LGG;67.65;8
Belém/PA;LGG;53.41;10
Belém/PA;LGG;56.55;8
Belém/PA;LGG;70.18;10
Belém/PA;GFL;31.35;13
Belém/PA;BPS;25.94;12
Belém/PA;ROD;34.55;10
Belém/PA;EXP;10752.68;999
Belém/PA;EXP;11562.02;999
Belém/PA;NEX;35.06;13
Belém/PA;JET;31.92;13
Belém/PA;AZC;61.62;3
Belém/PA;PMC;85.07;10
Belém/PA;S2C;47.37;13
Belém/PA;DLO;46.96;12
Santa Cruz do Sul/RS;MDLOGG;24.5;5
Santa Cruz do Sul/RS;GFL;11.86;4
Santa Cruz do Sul/RS;GFL;13.46;8
Santa Cruz do Sul/RS;LGG;16.88;4
Santa Cruz do Sul/RS;LGG;11.75;5
Santa Cruz do Sul/RS;LGG;19.77;4
Santa Cruz do Sul/RS;LGG;17.7;6
Santa Cruz do Sul/RS;GFL;13.46;8
Santa Cruz do Sul/RS;BPS;14.03;8
Santa Cruz do Sul/RS;BAU;39.82;2
Santa Cruz do Sul/RS;EXP;12048.18;999
Santa Cruz do Sul/RS;EXP;12913.21;999
Santa Cruz do Sul/RS;NEX;17.71;7
Santa Cruz do Sul/RS;JET;13.19;5
Santa Cruz do Sul/RS;AZC;18.19;3
Santa Cruz do Sul/RS;RSU;10.46;5
Santa Cruz do Sul/RS;PMC;19.83;6
Santa Cruz do Sul/RS;S2C;21.08;9
Santa Cruz do Sul/RS;DLO;16.96;6
Osasco/SP;MDLOGG;14.51;5
Osasco/SP;GFL;10.63;3
Osasco/SP;GFL;11.55;2
Osasco/SP;LGG;17.33;2
Osasco/SP;LGG;12.49;3
Osasco/SP;LGG;21.05;2
Osasco/SP;LGG;19.19;4
Osasco/SP;GFL;11.55;2
Osasco/SP;BPS;15.5;10
Osasco/SP;ROD;12.84;3
Osasco/SP;EXP;11363.63;999
Osasco/SP;EXP;12913.21;999
Osasco/SP;DAY;24.31;1
Osasco/SP;NEX;9.9;3
Osasco/SP;JET;13.53;4
Osasco/SP;AZC;22.41;3
Osasco/SP;ITL;12.91;4
Osasco/SP;PMC;20.94;4
Osasco/SP;S2C;12.62;2
Osasco/SP;DLO;10.57;2
Santo André/SP;MDLOGG;14.66;1
Santo André/SP;GFL;9.42;3
