Nome do destino,Código do serviço,Valor,Prazo Final

Belo Horizonte/MG,LGG,16.87,3
Belo Horizonte/MG,LGG,9.64,4
Belo Horizonte/MG,LGG,21.6,3
Belo Horizonte/MG,LGG,18.1,4
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.34,3
São Paulo/SP,LGG,18.17,2
São Paulo/SP,LGG,14.78,4
Franca/SP,LGG,15.08,3
Franca/SP,LGG,9.41,4
Franca/SP,LGG,22.75,3
Franca/SP,LGG,17.41,5
Arapiraca/AL,LGG,42.38,7
Arapiraca/AL,LGG,18,8
Arapiraca/AL,LGG,32.95,7
Arapiraca/AL,LGG,41.9,9
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.32,3
São Paulo/SP,LGG,17.41,2
São Paulo/SP,LGG,14.78,4
Santa Vitória/MG,LGG,19.41,6
Santa Vitória/MG,LGG,14.82,7
Santa Vitória/MG,LGG,26.65,6
Santa Vitória/MG,LGG,22.32,8
Pontal/SP,LGG,16.35,4
Pontal/SP,LGG,10.41,5
Pontal/SP,LGG,24.48,4
Pontal/SP,LGG,19.62,6
São Paulo/SP,LGG,13.26,2
São Paulo/SP,LGG,10.5,3
São Paulo/SP,LGG,18.97,2
São Paulo/SP,LGG,15.69,4
Poços de Caldas/MG,LGG,20.25,3
Poços de Caldas/MG,LGG,14.31,4
Poços de Caldas/MG,LGG,24.28,3
Poços de Caldas/MG,LGG,19.64,5
Viamão/RS,LGG,20.87,5
Viamão/RS,LGG,11.72,5
Viamão/RS,LGG,24.46,4
Viamão/RS,LGG,23.25,6
Bauru/SP,LGG,15.08,3
Bauru/SP,LGG,10.35,4
Bauru/SP,LGG,21.24,3
Bauru/SP,LGG,17.41,5
Camaragibe/PE,LGG,19.38,7
Camaragibe/PE,LGG,14.09,8
Camaragibe/PE,LGG,21.28,7
Camaragibe/PE,LGG,22.78,9
Jundiaí/SP,LGG,15.73,2
Jundiaí/SP,LGG,9.99,3
Jundiaí/SP,LGG,23.21,2
Jundiaí/SP,LGG,18.25,4
São Paulo/SP,LGG,10.91,2
São Paulo/SP,LGG,8.09,3
São Paulo/SP,LGG,15.79,2
São Paulo/SP,LGG,13.83,4
São Paulo/SP,LGG,10.5,2
São Paulo/SP,LGG,10.41,3
São Paulo/SP,LGG,15.91,2
São Paulo/SP,LGG,13.15,4
Taubaté/SP,LGG,15.79,3
Taubaté/SP,LGG,10.06,4
Taubaté/SP,LGG,22.75,3
Taubaté/SP,LGG,19.18,5
São Paulo/SP,LGG,10.2,2
São Paulo/SP,LGG,9.32,3
São Paulo/SP,LGG,15.5,2
São Paulo/SP,LGG,12.91,4
São Tiago/MG,LGG,48.04,6
São Tiago/MG,LGG,14.31,8
São Tiago/MG,LGG,22.49,7
Luís Gomes/RN,LGG,101.46,11
Luís Gomes/RN,LGG,15.31,12
Luís Gomes/RN,LGG,34.21,11
Cotia/SP,LGG,49.77,3
Cotia/SP,LGG,40.26,10
São Paulo/SP,LGG,12.78,2
São Paulo/SP,LGG,11.43,3
São Paulo/SP,LGG,18.32,2
São Paulo/SP,LGG,15.31,4
São Caetano do Sul/SP,LGG,13.49,2
São Caetano do Sul/SP,LGG,11.12,3
São Caetano do Sul/SP,LGG,16.3,2
São Caetano do Sul/SP,LGG,15.87,4
Águas de São Pedro/SP,LGG,12.27,5
Águas de São Pedro/SP,LGG,9.95,6
Águas de São Pedro/SP,LGG,17.82,5
Águas de São Pedro/SP,LGG,15.96,7
Ipatinga/MG,LGG,19.52,4
Ipatinga/MG,LGG,11.99,5
Ipatinga/MG,LGG,24.44,4
Ipatinga/MG,LGG,22.41,5
Itaguaí/RJ,LGG,18.11,4
Itaguaí/RJ,LGG,14.97,5
Itaguaí/RJ,LGG,25.64,4
Itaguaí/RJ,LGG,19.93,4
Bambuí/MG,LGG,17.21,5
Bambuí/MG,LGG,15.87,6
Bambuí/MG,LGG,41.66,5
Bambuí/MG,LGG,20.33,6
Brasília/DF,LGG,29.2,3
Brasília/DF,LGG,23.38,4
Brasília/DF,LGG,35.15,3
Brasília/DF,LGG,31.26,5
Embu das Artes/SP,LGG,12.39,2
Embu das Artes/SP,LGG,11.2,3
Embu das Artes/SP,LGG,17.27,2
Embu das Artes/SP,LGG,15.08,4
Jandira/SP,LGG,14.22,3
Jandira/SP,LGG,11.2,4
Jandira/SP,LGG,19.91,3
Jandira/SP,LGG,16.44,5
Araçatuba/SP,LGG,14.05,3
Araçatuba/SP,LGG,10.01,4
Araçatuba/SP,LGG,17.44,3
Araçatuba/SP,LGG,17.84,5
São Paulo/SP,LGG,12.63,2
São Paulo/SP,LGG,11.41,3
São Paulo/SP,LGG,18.11,2
São Paulo/SP,LGG,15.19,4
Feira de Santana/BA,LGG,28.79,5
Feira de Santana/BA,LGG,22.51,6
Feira de Santana/BA,LGG,37.77,5
Feira de Santana/BA,LGG,29.48,7
Brasília/DF,LGG,17.78,3
Brasília/DF,LGG,15.67,4
Brasília/DF,LGG,21.67,3
Brasília/DF,LGG,20.56,5
Mineiros/GO,LGG,46.3,7
Mineiros/GO,LGG,40.77,10
São Paulo/SP,LGG,10.67,2
São Paulo/SP,LGG,10.48,3
São Paulo/SP,LGG,16.14,2
São Paulo/SP,LGG,13.28,4
Lagoa Santa/MG,LGG,17.35,3
Lagoa Santa/MG,LGG,14.32,5
Lagoa Santa/MG,LGG,23.15,4
Lagoa Santa/MG,LGG,20.44,5
Rio de Janeiro/RJ,LGG,15.09,3
Rio de Janeiro/RJ,LGG,13.39,4
Rio de Janeiro/RJ,LGG,21.15,3
Rio de Janeiro/RJ,LGG,15.87,2
Florianópolis/SC,LGG,17.16,4
Florianópolis/SC,LGG,8.07,4
Florianópolis/SC,LGG,14.73,3
Florianópolis/SC,LGG,18.1,5
Jaboticabal/SP,LGG,12.27,4
Jaboticabal/SP,LGG,8.28,5
Jaboticabal/SP,LGG,17.82,4
Jaboticabal/SP,LGG,15.96,6
São Paulo/SP,LGG,15.22,2
São Paulo/SP,LGG,10.58,3
São Paulo/SP,LGG,21.83,2
São Paulo/SP,LGG,17.71,4
São Paulo/SP,LGG,6.96,2
São Paulo/SP,LGG,6.69,3
São Paulo/SP,LGG,10.59,2
São Paulo/SP,LGG,10.13,4
Barretos/SP,LGG,18.79,5
Barretos/SP,LGG,12.45,5
Barretos/SP,LGG,23.61,4
Barretos/SP,LGG,22.29,6
Praia Grande/SP,LGG,13.21,2
Praia Grande/SP,LGG,12.3,3
Praia Grande/SP,LGG,22.1,2
Praia Grande/SP,LGG,16.62,4
São Paulo/SP,LGG,8.81,2
São Paulo/SP,LGG,9.19,3
São Paulo/SP,LGG,13.55,2
São Paulo/SP,LGG,12.03,4
São Paulo/SP,LGG,12.97,2
São Paulo/SP,LGG,10.54,3
São Paulo/SP,LGG,18.58,2
São Paulo/SP,LGG,15.47,4
Sabará/MG,LGG,24.97,3
Sabará/MG,LGG,20.04,4
Sabará/MG,LGG,31.84,3
Sabará/MG,LGG,27.29,4
Rio de Janeiro/RJ,LGG,13.6,3
Rio de Janeiro/RJ,LGG,12.04,4
Rio de Janeiro/RJ,LGG,23.84,3
Rio de Janeiro/RJ,LGG,15.06,2
Limeira/SP,LGG,13.96,3
Limeira/SP,LGG,11.18,4
Limeira/SP,LGG,20.73,3
Limeira/SP,LGG,16.24,5
Miguel Pereira/RJ,LGG,15.88,5
Miguel Pereira/RJ,LGG,13.48,7
Miguel Pereira/RJ,LGG,23.84,5
Miguel Pereira/RJ,LGG,18.89,5
Campinas/SP,LGG,10.69,2
Campinas/SP,LGG,7.66,3
Campinas/SP,LGG,12.84,2
Campinas/SP,LGG,13.9,4
Maceió/AL,LGG,23.57,6
Maceió/AL,LGG,16.16,7
Maceió/AL,LGG,23.95,6
Maceió/AL,LGG,25.56,8
São Paulo/SP,LGG,9.19,2
São Paulo/SP,LGG,9.24,3
São Paulo/SP,LGG,14.06,2
São Paulo/SP,LGG,12.33,4
Campinas/SP,LGG,12.2,2
Campinas/SP,LGG,10.05,3
Campinas/SP,LGG,17.82,2
Campinas/SP,LGG,15.45,4
Americana/SP,LGG,11.29,3
Americana/SP,LGG,7.68,4
