Nome do destino,Código do serviço,Valor,Prazo Final
Praia Grande/SP,LGG,12.57,2
Praia Grande/SP,LGG,10.06,3
Praia Grande/SP,LGG,21.24,2
Praia Grande/SP,LGG,16.12,4
Guarulhos/SP,LGG,13.23,2
Guarulhos/SP,LGG,9.06,3
Guarulhos/SP,LGG,15.94,2
Guarulhos/SP,LGG,15.66,4
Fazenda Rio Grande/PR,LGG,10.33,4
Fazenda Rio Grande/PR,LGG,6.8,5
Fazenda Rio Grande/PR,LGG,15.22,2
Fazenda Rio Grande/PR,LGG,12.51,6
Santa Luzia/MG,LGG,16.38,3
Santa Luzia/MG,LGG,11.93,4
Santa Luzia/MG,LGG,21.85,3
Santa Luzia/MG,LGG,19.67,4
Pouso Alto/MG,LGG,45.94,6
Pouso Alto/MG,LGG,11.88,7
Pouso Alto/MG,LGG,19.29,8
São Vicente/SP,LGG,11.56,2
São Vicente/SP,LGG,7.58,3
São Vicente/SP,LGG,17.8,2
São Vicente/SP,LGG,14.94,4
São Paulo/SP,LGG,10.7,2
São Paulo/SP,LGG,9.36,3
São Paulo/SP,LGG,16.18,2
São Paulo/SP,LGG,13.31,4
Balneário Gaivota/SC,LGG,34.48,7
Balneário Gaivota/SC,LGG,17.6,8
Balneário Gaivota/SC,LGG,36.26,7
Balneário Gaivota/SC,LGG,36.47,9
Santa Bárbara do Sul/RS,LGG,28.77,7
Santa Bárbara do Sul/RS,LGG,29.68,7
Santa Bárbara do Sul/RS,LGG,32.06,9
Três Corações/MG,LGG,19.52,3
Três Corações/MG,LGG,13.09,5
Três Corações/MG,LGG,24.44,3
Três Corações/MG,LGG,22.41,5
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.34,3
São Paulo/SP,LGG,18.17,2
São Paulo/SP,LGG,14.78,4
Praia Grande/SP,LGG,15.01,2
Praia Grande/SP,LGG,11.2,3
Praia Grande/SP,LGG,24.95,2
Praia Grande/SP,LGG,17.74,4
Ipatinga/MG,LGG,25.64,4
Ipatinga/MG,LGG,17.66,5
Ipatinga/MG,LGG,33.03,4
Ipatinga/MG,LGG,27.4,5
Criciúma/SC,LGG,24.86,4
Criciúma/SC,LGG,17.33,5
Criciúma/SC,LGG,22.27,4
Criciúma/SC,LGG,24.96,6
Ponta Grossa/PR,LGG,11.71,4
Ponta Grossa/PR,LGG,6.9,5
Ponta Grossa/PR,LGG,15.34,2
Ponta Grossa/PR,LGG,13.74,6
Salete/SC,LGG,18.69,5
Salete/SC,LGG,7.02,9
Salete/SC,LGG,17.46,7
Salete/SC,LGG,22.62,9
Bragança Paulista/SP,LGG,10.73,3
Bragança Paulista/SP,LGG,7.67,4
Bragança Paulista/SP,LGG,14.32,3
Bragança Paulista/SP,LGG,13.92,5
São Paulo/SP,LGG,17.52,2
São Paulo/SP,LGG,12.7,3
São Paulo/SP,LGG,29.14,2
São Paulo/SP,LGG,20.14,4
São Paulo/SP,LGG,8.43,2
São Paulo/SP,LGG,6.79,3
São Paulo/SP,LGG,13.04,2
São Paulo/SP,LGG,11.73,4
Magé/RJ,LGG,14.86,4
Magé/RJ,LGG,12.1,7
Magé/RJ,LGG,22.45,6
Magé/RJ,LGG,18.02,3
Salto de Pirapora/SP,LGG,21.69,5
Salto de Pirapora/SP,LGG,15,6
Salto de Pirapora/SP,LGG,33.41,5
Salto de Pirapora/SP,LGG,23.53,7
Cuiabá/MT,LGG,95.92,6
Cuiabá/MT,LGG,26.19,7
Cuiabá/MT,LGG,51.68,7
Cuiabá/MT,LGG,71.74,11
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,6.76,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
Curitiba/PR,LGG,9.58,3
Curitiba/PR,LGG,6.8,4
Curitiba/PR,LGG,10.14,1
Curitiba/PR,LGG,13,5
Ribeirão Preto/SP,LGG,13.2,2
Ribeirão Preto/SP,LGG,9.36,3
Ribeirão Preto/SP,LGG,19.61,2
Ribeirão Preto/SP,LGG,16.17,4
Mauá/SP,LGG,15.08,2
Mauá/SP,LGG,10.06,3
Mauá/SP,LGG,18.01,2
Mauá/SP,LGG,17.41,4
Peruíbe/SP,LGG,10.26,6
Peruíbe/SP,LGG,14.78,4
Peruíbe/SP,LGG,13.91,8
Brasília/DF,LGG,18.55,3
Brasília/DF,LGG,13.95,4
Brasília/DF,LGG,24.41,3
Brasília/DF,LGG,22.28,5
Santo André/SP,LGG,12.13,2
Santo André/SP,LGG,11.17,3
Santo André/SP,LGG,16.93,2
Santo André/SP,LGG,14.88,4
Salvador/BA,LGG,13.96,5
Salvador/BA,LGG,14.15,6
Salvador/BA,LGG,19.13,5
Salvador/BA,LGG,16.89,7
São Paulo/SP,LGG,7.25,2
São Paulo/SP,LGG,7.06,3
São Paulo/SP,LGG,10.98,2
São Paulo/SP,LGG,10.35,4
Ipatinga/MG,LGG,19.52,4
Ipatinga/MG,LGG,13.06,5
Ipatinga/MG,LGG,24.44,4
Ipatinga/MG,LGG,22.41,5
Vitória/ES,LGG,18.41,3
Vitória/ES,LGG,15.17,5
Vitória/ES,LGG,27.18,4
Vitória/ES,LGG,20.39,5
Nova Alvorada do Sul/MS,LGG,118.1,9
Nova Alvorada do Sul/MS,LGG,95.36,9
Betim/MG,LGG,16.48,3
Betim/MG,LGG,11.94,4
Betim/MG,LGG,21.97,3
Betim/MG,LGG,19.75,4
São Paulo/SP,LGG,16.47,2
São Paulo/SP,LGG,11.6,3
São Paulo/SP,LGG,25.16,2
São Paulo/SP,LGG,19.31,4
Ouroeste/SP,LGG,12.43,5
Ouroeste/SP,LGG,8.05,6
Ouroeste/SP,LGG,14.83,5
Ouroeste/SP,LGG,16.41,7
Salto/SP,LGG,11.46,4
Salto/SP,LGG,8.99,5
Salto/SP,LGG,17.53,4
Salto/SP,LGG,15.09,5
Rio de Janeiro/RJ,LGG,15.96,3
Rio de Janeiro/RJ,LGG,12.01,4
Rio de Janeiro/RJ,LGG,27.47,3
Rio de Janeiro/RJ,LGG,17.49,2
Belo Horizonte/MG,LGG,16.99,3
Belo Horizonte/MG,LGG,11.67,4
Belo Horizonte/MG,LGG,21.76,3
Belo Horizonte/MG,LGG,18.2,4
Vila Velha/ES,LGG,24,3
Vila Velha/ES,LGG,13.3,5
Vila Velha/ES,LGG,23.31,4
Vila Velha/ES,LGG,25.56,5
Joinville/SC,LGG,13.57,1
Joinville/SC,LGG,6.94,4
Joinville/SC,LGG,11.07,3
Joinville/SC,LGG,16,5
Ipaussu/SP,LGG,19.33,6
Ipaussu/SP,LGG,11.55,7
Ipaussu/SP,LGG,25.32,6
Ipaussu/SP,LGG,22.72,8
Vila Velha/ES,LGG,22.44,3
Vila Velha/ES,LGG,13.31,5
Vila Velha/ES,LGG,20.21,4
Vila Velha/ES,LGG,23.16,5
Rondonópolis/MT,LGG,146.57,9
Rondonópolis/MT,LGG,17.46,7
Rondonópolis/MT,LGG,30.95,6
Bauru/SP,LGG,11.35,3
Bauru/SP,LGG,9.3,4
Bauru/SP,LGG,16.67,3
Bauru/SP,LGG,14.77,5
São Bernardo do Campo/SP,LGG,12.57,2
São Bernardo do Campo/SP,LGG,10.06,3
São Bernardo do Campo/SP,LGG,18.01,2
São Bernardo do Campo/SP,LGG,16.12,4
Barra/BA,LGG,48.35,10
Barra/BA,LGG,44.63,12
Porto Alegre/RS,LGG,18.86,3
Porto Alegre/RS,LGG,21.97,4
Porto Alegre/RS,LGG,18.08,3
Porto Alegre/RS,LGG,23.75,5
Santos/SP,LGG,10.68,2
Santos/SP,LGG,7.66,3
Santos/SP,LGG,12.84,2
Santos/SP,LGG,14.24,4
Santana de Parnaíba/SP,LGG,11.94,3
Santana de Parnaíba/SP,LGG,8.75,4
Santana de Parnaíba/SP,LGG,13.94,3
Santana de Parnaíba/SP,LGG,15.24,5
Palmas/TO,LGG,21.56,7
Palmas/TO,LGG,27.16,9
Palmas/TO,LGG,23.7,10
Presidente Prudente/SP,LGG,12.75,4
Presidente Prudente/SP,LGG,8.09,3
Presidente Prudente/SP,LGG,14.19,4
Presidente Prudente/SP,LGG,16.66,6
São Paulo/SP,LGG,10.92,2
São Paulo/SP,LGG,10.43,3
São Paulo/SP,LGG,16.48,2
São Paulo/SP,LGG,13.48,4
Taboão da Serra/SP,LGG,45.61,2
Taboão da Serra/SP,LGG,15.24,3
Taboão da Serra/SP,LGG,34.45,2
Taboão da Serra/SP,LGG,25.59,4
São José dos Campos/SP,LGG,16.72,2
São José dos Campos/SP,LGG,13.34,3
São José dos Campos/SP,LGG,27.26,2
São José dos Campos/SP,LGG,19.09,4
Salvador/BA,LGG,17.05,5
Salvador/BA,LGG,22.04,6
Salvador/BA,LGG,24.33,5
Salvador/BA,LGG,19.82,7
Brusque/SC,LGG,15.36,2
Brusque/SC,LGG,7.02,5
Brusque/SC,LGG,14.08,4
Brusque/SC,LGG,16.92,6
Brasnorte/MT,LGG,60.07,13
Brasnorte/MT,LGG,37.47,11
Brasnorte/MT,LGG,53.96,18
Itaporanga/PB,LGG,133.05,11
Itaporanga/PB,LGG,18.15,12
Itaporanga/PB,LGG,38.71,11
Custódia/PE,LGG,64.13,11
Custódia/PE,LGG,47.53,10
Ituiutaba/MG,LGG,33.48,4
Ituiutaba/MG,LGG,19.94,5
Ituiutaba/MG,LGG,36.49,4
Ituiutaba/MG,LGG,32.5,6
Japeri/RJ,LGG,19.25,3
Japeri/RJ,LGG,13.48,4
Japeri/RJ,LGG,24.44,3
Japeri/RJ,LGG,22,3
Jaraguá/GO,LGG,23.71,6
Jaraguá/GO,LGG,15.96,7
Jaraguá/GO,LGG,22.82,7
Jaraguá/GO,LGG,26.1,8
Rio de Janeiro/RJ,LGG,14.12,3
Rio de Janeiro/RJ,LGG,39.88,3
Rio de Janeiro/RJ,LGG,15.05,2
Domingos Martins/ES,LGG,23.75,6
Domingos Martins/ES,LGG,17.89,7
Domingos Martins/ES,LGG,27.04,5
Domingos Martins/ES,LGG,25.26,8
Londrina/PR,LGG,10.21,3
Londrina/PR,LGG,7.37,2
Londrina/PR,LGG,13.59,3
Londrina/PR,LGG,13.5,5
Belo Horizonte/MG,LGG,11.89,3
Belo Horizonte/MG,LGG,8.32,4
Belo Horizonte/MG,LGG,14.93,3
Belo Horizonte/MG,LGG,14.26,4
Panambi/RS,LGG,19.33,6
Panambi/RS,LGG,14.15,8
Panambi/RS,LGG,18.24,7
Panambi/RS,LGG,21.11,9
Parobé/RS,LGG,17.57,4
Parobé/RS,LGG,10.49,6
Parobé/RS,LGG,20.74,5
Parobé/RS,LGG,19.04,7
Viamão/RS,LGG,55.64,5
Viamão/RS,LGG,24.58,5
Viamão/RS,LGG,41.59,4
Viamão/RS,LGG,36.92,6
Curitiba/PR,LGG,13.73,3
Curitiba/PR,LGG,8.56,4
Curitiba/PR,LGG,15.29,1
Curitiba/PR,LGG,15.51,5
Torres/RS,LGG,11.61,4
Torres/RS,LGG,7.65,5
Torres/RS,LGG,14.02,4
Torres/RS,LGG,13.84,6
Toledo/PR,LGG,12.43,4
Toledo/PR,LGG,9.03,3
Toledo/PR,LGG,15.88,4
Toledo/PR,LGG,14.78,6
Itapema/SC,LGG,11.31,2
Itapema/SC,LGG,8.11,5
Itapema/SC,LGG,13.98,4
Itapema/SC,LGG,13.95,6
Messias/AL,LGG,29.31,8
Messias/AL,LGG,16.27,9
Messias/AL,LGG,32.1,8
Messias/AL,LGG,31,10
Paula Cândido/MG,LGG,46,7
