Nome do destino;Código do serviço;Valor;Prazo Final
São Bernardo do Campo/SP;FMT;8.78;5
São Bernardo do Campo/SP;FMT;9.76;5
Rio de Janeiro/RJ;FMT;14.1;6
São José dos Campos/SP;FMT;56.22;5
São Paulo/SP;FMT;19.36;5
Salvador/BA;FMT;23.08;8
São Paulo/SP;FMT;12.26;5
Mauá/SP;FMT;13.98;5
Rolador/RS;FMT;23.55;16
São Paulo/SP;FMT;8.19;5
Catalão/GO;FMT;47;11
Nova Iguaçu/RJ;FMT;18.55;8
Taubaté/SP;FMT;13.25;5
Duque de Caxias/RJ;FMT;26.3;10
Santos/SP;FMT;9.74;5
Presidente Venceslau/SP;FMT;11.18;7
São João de Petrópolis/ES;FMT;36.58;13
Rio de Janeiro/RJ;FMT;13.08;8
Porto Alegre/RS;FMT;11;8
São Paulo/SP;FMT;8.87;5
Guarulhos/SP;FMT;8.1;5
São Paulo/SP;FMT;10.74;5
Indaiatuba/SP;FMT;128.74;5
Lins/SP;FMT;142.2;5
Senador Canedo/GO;FMT;21.71;11
São Paulo/SP;FMT;30.35;5
São José dos Campos/SP;FMT;56.22;5
Cotia/SP;FMT;13.39;5
São José dos Campos/SP;FMT;56.22;5
Cafelândia/SP;FMT;160.03;7
Mogi das Cruzes/SP;FMT;129.11;5
Campos dos Goytacazes/RJ;FMT;170.06;8
Jacareí/SP;FMT;11.31;5
São Paulo/SP;FMT;12.76;5
Piracaia/SP;FMT;10.75;7
São Paulo/SP;FMT;9.9;5
Belo Horizonte/MG;FMT;37.07;7
Jaraguá do Sul/SC;FMT;289.53;10
São Paulo/SP;FMT;8.98;5
Jundiaí/SP;FMT;209.55;5
Lajinha/ES;FMT;25.08;13
São Paulo/SP;FMT;8.14;5
São Paulo/SP;FMT;135.43;5
Cascavel/PR;FMT;17.02;8
Sinimbu/RS;FMT;292.45;13
São Paulo/SP;FMT;158.32;5
Rio de Janeiro/RJ;FMT;20.07;7
Niterói/RJ;FMT;20.42;6
Embu das Artes/SP;FMT;29.65;5
Catanduva/SP;FMT;10.03;8
Guarujá/SP;FMT;172.57;5
Rio de Janeiro/RJ;FMT;10.71;6
São Bernardo do Campo/SP;FMT;23.85;5
Sorocaba/SP;FMT;12.29;5
São Paulo/SP;FMT;29.41;5
São Paulo/SP;FMT;85.12;5
Diadema/SP;FMT;9.84;5
Orizânia/MG;FMT;51.5;14
Pontes e Lacerda/MT;FMT;29.44;15
Avaré/SP;FMT;10.24;5
Belo Horizonte/MG;FMT;15.33;7
Lambari/MG;FMT;17.23;10
Muniz Freire/ES;FMT;258.79;13
Curvelo/MG;FMT;15.24;10
Pedro Osório/RS;FMT;22.01;9
Almirante Tamandaré do Sul/RS;FMT;65.27;15
Avaré/SP;FMT;43.82;5
Taubaté/SP;FMT;10.11;5
Jacareí/SP;FMT;19.51;5
Belo Horizonte/MG;FMT;37.99;7
Guarujá/SP;FMT;109.95;5
São Paulo/SP;FMT;17.49;5
Rio de Janeiro/RJ;FMT;20.03;6
Bauru/SP;FMT;49.94;5
Nova Xavantina/MT;FMT;448.02;15
Santo Ângelo/RS;FMT;130.18;11
Jacareí/SP;FMT;152.74;5
Florianópolis/SC;FMT;144.71;8
